File Name,admin_2019-10-02 15-34-09_CFXN8.pcrd,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,10/02/2019 12:34:26 UTC,,,,,
Run Ended,10/02/2019 14:46:18 UTC,,,,,
Sample Vol,15,,,,,
Lid Temp,105,,,,,
Protocol File Name,Natasha_Taqman.prcl,,,,,
Plate Setup File Name,Natasha_Taqman.pltd,,,,,
Base Serial Number,BR006906,,,,,
Optical Head Serial Number,788BR07970,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,,Unkn,B1498,NaN,NaN
A02,FAM,,Unkn,B1498,NaN,NaN
A03,FAM,,Unkn,B1498,NaN,NaN
A04,FAM,,Unkn,B1498,NaN,NaN
A05,FAM,,Unkn,B1498,NaN,NaN
A06,FAM,,Unkn,B1498,NaN,NaN
A07,FAM,,Unkn,B1498,NaN,NaN
A08,FAM,,Unkn,B1498,NaN,NaN
A09,FAM,,Unkn,B1498,NaN,NaN
A10,FAM,,Unkn,B1498,NaN,NaN
B01,FAM,,Unkn,P10604n,NaN,NaN
B02,FAM,,Unkn,P10604n,NaN,NaN
B03,FAM,,Unkn,P10604n,NaN,NaN
B04,FAM,,Unkn,P10604n,NaN,NaN
B05,FAM,,Unkn,P10604n,NaN,NaN
B06,FAM,,Unkn,P10604n,NaN,NaN
B07,FAM,,Unkn,P10604n,NaN,NaN
B08,FAM,,Unkn,P10604n,NaN,NaN
B09,FAM,,Unkn,P10604n,NaN,NaN
B10,FAM,,Unkn,P10604n,NaN,NaN
C01,FAM,,Unkn,P10609n,NaN,NaN
C02,FAM,,Unkn,P10609n,NaN,NaN
C03,FAM,,Unkn,P10609n,NaN,NaN
C04,FAM,,Unkn,P10609n,NaN,NaN
C05,FAM,,Unkn,P10609n,NaN,NaN
C06,FAM,,Unkn,P10609n,NaN,NaN
C07,FAM,,Unkn,P10609n,NaN,NaN
C08,FAM,,Unkn,P10609n,NaN,NaN
C09,FAM,,Unkn,P10609n,NaN,NaN
C10,FAM,,Unkn,P10609n,NaN,NaN
D01,FAM,,Unkn,P10647n,NaN,NaN
D02,FAM,,Unkn,P10647n,NaN,NaN
D03,FAM,,Unkn,P10647n,NaN,NaN
D04,FAM,,Unkn,P10647n,NaN,NaN
D05,FAM,,Unkn,P10647n,NaN,NaN
D06,FAM,,Unkn,P10647n,NaN,NaN
D07,FAM,,Unkn,P10647n,NaN,NaN
D08,FAM,,Unkn,P10647n,NaN,NaN
D09,FAM,,Unkn,P10647n,NaN,NaN
D10,FAM,,Unkn,P10647n,NaN,NaN
E01,FAM,,Unkn,B1498,NaN,NaN
E02,FAM,,Unkn,B1498,NaN,NaN
E03,FAM,,Unkn,B1498,NaN,NaN
E04,FAM,,Unkn,B1498,31.1681705021348,NaN
E05,FAM,,Unkn,B1498,31.3059651151589,NaN
E06,FAM,,Unkn,B1498,24.0762127074775,NaN
E07,FAM,,Unkn,B1498,32.9716907030995,NaN
E08,FAM,,Unkn,B1498,33.4154880288426,NaN
E09,FAM,,Unkn,B1498,28.4396756177828,NaN
E10,FAM,,Unkn,B1498,29.6448786453958,NaN
F01,FAM,,Unkn,P10604n,NaN,NaN
F02,FAM,,Unkn,P10604n,NaN,NaN
F03,FAM,,Unkn,P10604n,NaN,NaN
F04,FAM,,Unkn,P10604n,NaN,NaN
F05,FAM,,Unkn,P10604n,37.2750447473952,NaN
F06,FAM,,Unkn,P10604n,28.3154358359232,NaN
F07,FAM,,Unkn,P10604n,37.7434438175691,NaN
F08,FAM,,Unkn,P10604n,37.6918136778547,NaN
F09,FAM,,Unkn,P10604n,33.0501743877384,NaN
F10,FAM,,Unkn,P10604n,34.2954430189206,NaN
G01,FAM,,Unkn,P10609n,NaN,NaN
G02,FAM,,Unkn,P10609n,NaN,NaN
G03,FAM,,Unkn,P10609n,NaN,NaN
G04,FAM,,Unkn,P10609n,NaN,NaN
G05,FAM,,Unkn,P10609n,37.4508802789996,NaN
G06,FAM,,Unkn,P10609n,31.8918642759778,NaN
G07,FAM,,Unkn,P10609n,37.6535274784334,NaN
G08,FAM,,Unkn,P10609n,37.5644674170808,NaN
G09,FAM,,Unkn,P10609n,NaN,NaN
G10,FAM,,Unkn,P10609n,NaN,NaN
H01,FAM,,Unkn,P10647n,NaN,NaN
H02,FAM,,Unkn,P10647n,NaN,NaN
H03,FAM,,Unkn,P10647n,NaN,NaN
H04,FAM,,Unkn,P10647n,NaN,NaN
H05,FAM,,Unkn,P10647n,NaN,NaN
H06,FAM,,Unkn,P10647n,34.7311436742148,NaN
H07,FAM,,Unkn,P10647n,40.6640714082455,NaN
H08,FAM,,Unkn,P10647n,NaN,NaN
H09,FAM,,Unkn,P10647n,30.0121805147784,NaN
H10,FAM,,Unkn,P10647n,NaN,NaN
A01,HEX,,Unkn,B1498,25.6005015741094,NaN
A02,HEX,,Unkn,B1498,NaN,NaN
A03,HEX,,Unkn,B1498,NaN,NaN
A04,HEX,,Unkn,B1498,NaN,NaN
A05,HEX,,Unkn,B1498,NaN,NaN
A06,HEX,,Unkn,B1498,NaN,NaN
A07,HEX,,Unkn,B1498,NaN,NaN
A08,HEX,,Unkn,B1498,NaN,NaN
A09,HEX,,Unkn,B1498,NaN,NaN
A10,HEX,,Unkn,B1498,NaN,NaN
B01,HEX,,Unkn,P10604n,31.6738053270635,NaN
B02,HEX,,Unkn,P10604n,NaN,NaN
B03,HEX,,Unkn,P10604n,NaN,NaN
B04,HEX,,Unkn,P10604n,NaN,NaN
B05,HEX,,Unkn,P10604n,NaN,NaN
B06,HEX,,Unkn,P10604n,NaN,NaN
B07,HEX,,Unkn,P10604n,NaN,NaN
B08,HEX,,Unkn,P10604n,NaN,NaN
B09,HEX,,Unkn,P10604n,NaN,NaN
B10,HEX,,Unkn,P10604n,NaN,NaN
C01,HEX,,Unkn,P10609n,33.3117949417097,NaN
C02,HEX,,Unkn,P10609n,NaN,NaN
C03,HEX,,Unkn,P10609n,NaN,NaN
C04,HEX,,Unkn,P10609n,NaN,NaN
C05,HEX,,Unkn,P10609n,NaN,NaN
C06,HEX,,Unkn,P10609n,NaN,NaN
C07,HEX,,Unkn,P10609n,NaN,NaN
C08,HEX,,Unkn,P10609n,NaN,NaN
C09,HEX,,Unkn,P10609n,NaN,NaN
C10,HEX,,Unkn,P10609n,NaN,NaN
D01,HEX,,Unkn,P10647n,32.2111896805136,NaN
D02,HEX,,Unkn,P10647n,NaN,NaN
D03,HEX,,Unkn,P10647n,NaN,NaN
D04,HEX,,Unkn,P10647n,NaN,NaN
D05,HEX,,Unkn,P10647n,NaN,NaN
D06,HEX,,Unkn,P10647n,NaN,NaN
D07,HEX,,Unkn,P10647n,NaN,NaN
D08,HEX,,Unkn,P10647n,NaN,NaN
D09,HEX,,Unkn,P10647n,NaN,NaN
D10,HEX,,Unkn,P10647n,NaN,NaN
E01,HEX,,Unkn,B1498,NaN,NaN
E02,HEX,,Unkn,B1498,NaN,NaN
E03,HEX,,Unkn,B1498,24.5267361644633,NaN
E04,HEX,,Unkn,B1498,31.8779477017712,NaN
E05,HEX,,Unkn,B1498,32.078833897159,NaN
E06,HEX,,Unkn,B1498,24.0421437365199,NaN
E07,HEX,,Unkn,B1498,32.2522076295735,NaN
E08,HEX,,Unkn,B1498,37.2881198815646,NaN
E09,HEX,,Unkn,B1498,34.1260933325813,NaN
E10,HEX,,Unkn,B1498,29.4145854094122,NaN
F01,HEX,,Unkn,P10604n,NaN,NaN
F02,HEX,,Unkn,P10604n,NaN,NaN
F03,HEX,,Unkn,P10604n,31.6684189221193,NaN
F04,HEX,,Unkn,P10604n,37.2983031972224,NaN
F05,HEX,,Unkn,P10604n,NaN,NaN
F06,HEX,,Unkn,P10604n,28.4564318542052,NaN
F07,HEX,,Unkn,P10604n,37.8828005873198,NaN
F08,HEX,,Unkn,P10604n,39.3047603245634,NaN
F09,HEX,,Unkn,P10604n,35.2244945367039,NaN
F10,HEX,,Unkn,P10604n,35.0024199096352,NaN
G01,HEX,,Unkn,P10609n,NaN,NaN
G02,HEX,,Unkn,P10609n,NaN,NaN
G03,HEX,,Unkn,P10609n,34.0121602739577,NaN
G04,HEX,,Unkn,P10609n,NaN,NaN
G05,HEX,,Unkn,P10609n,NaN,NaN
G06,HEX,,Unkn,P10609n,33.0194523311738,NaN
G07,HEX,,Unkn,P10609n,36.0503867560354,NaN
G08,HEX,,Unkn,P10609n,39.4424297746493,NaN
G09,HEX,,Unkn,P10609n,NaN,NaN
G10,HEX,,Unkn,P10609n,NaN,NaN
H01,HEX,,Unkn,P10647n,NaN,NaN
H02,HEX,,Unkn,P10647n,NaN,NaN
H03,HEX,,Unkn,P10647n,34.104452209331,NaN
H04,HEX,,Unkn,P10647n,NaN,NaN
H05,HEX,,Unkn,P10647n,NaN,NaN
H06,HEX,,Unkn,P10647n,34.6997604572817,NaN
H07,HEX,,Unkn,P10647n,NaN,NaN
H08,HEX,,Unkn,P10647n,NaN,NaN
H09,HEX,,Unkn,P10647n,33.1076201760409,NaN
H10,HEX,,Unkn,P10647n,NaN,NaN
